w_clogit,w_ranger,w_xgb,w_lc,loss
0.3,0.3,0.2,0.2,1.16761245347947
0.2,0.4,0.3,0.1,1.16803321385291
0.4,0.4,0,0.2,1.16806744822508
0.5,0.2,0,0.3,1.16821794196227
0.2,0.1,0.5,0.2,1.16832123219829
0.2,0,0.6,0.2,1.16832357309669
0.1,0.3,0.6,0,1.16844350013271
0.1,0.2,0.7,0,1.16846450840929
0.2,0.6,0.2,0,1.16859154904191
0.3,0,0.4,0.3,1.16863016398176
0.3,0.7,0,0,1.16871324764116
0.2,0.2,0.4,0.2,1.1689763908732
0.4,0.2,0.1,0.3,1.16901400689943
0.1,0.4,0.5,0,1.16906812631555
0.1,0.1,0.8,0,1.16917240236161
0.3,0.1,0.3,0.3,1.1693367897151
0.3,0.4,0.1,0.2,1.16967088791401
0.1,0.2,0.6,0.1,1.1699134678463
0.2,0.5,0.2,0.1,1.16999290879967
0.1,0.1,0.7,0.1,1.16999787994644
0.3,0.6,0,0.1,1.17015183348135
0.2,0.3,0.3,0.2,1.17025981842825
0.1,0.5,0.4,0,1.17031271021019
0.1,0.3,0.5,0.1,1.17048002376031
0.1,0,0.9,0,1.17063194573206
0.3,0.2,0.2,0.3,1.17069070264654
0.5,0,0.1,0.4,1.17073204555239
0.1,0,0.8,0.1,1.1707778510009
0.6,0,0,0.4,1.17081012061057
0.4,0.3,0,0.3,1.17116440052892
0.2,0.7,0.1,0,1.17120770627832
0.2,0,0.5,0.3,1.17149954807504
0.4,0,0.2,0.4,1.17156651229884
0.1,0.4,0.4,0.1,1.17166981238373
0.2,0.1,0.4,0.3,1.1720531980247
0.2,0.4,0.2,0.2,1.1721558778398
0.1,0.6,0.3,0,1.17216324328856
0.1,0.1,0.6,0.2,1.17219723916759
0.5,0.1,0,0.4,1.17228784588393
0.3,0.5,0,0.2,1.17234359493968
0.1,0,0.7,0.2,1.1723714986059
0.2,0.6,0.1,0.1,1.17255521991918
0.3,0.3,0.1,0.3,1.17267398771371
0.1,0.2,0.5,0.2,1.17268651473176
0.4,0.1,0.1,0.4,1.17296616772474
0.2,0.2,0.3,0.3,1.173250932364
0.3,0,0.3,0.4,1.17329521895039
0.1,0.5,0.3,0.1,1.17346738506016
0,0.3,0.7,0,1.17350075161127
0,0.2,0.8,0,1.17372631686836
0.1,0.3,0.4,0.2,1.17380778882277
0,0.4,0.6,0,1.17393713227151
0.2,0.8,0,0,1.17443240561138
0.3,0.1,0.2,0.4,1.1745421555143
0.1,0.7,0.2,0,1.1746154131385
0.2,0.5,0.1,0.2,1.17465975956947
0,0.1,0.9,0,1.17466079247207
0,0.2,0.7,0.1,1.17485659864557
0,0.5,0.5,0,1.17500564307045
0.4,0.2,0,0.4,1.1750267865926
0.2,0.3,0.2,0.3,1.17507316182666
0,0.1,0.8,0.1,1.17513994068374
0,0.3,0.6,0.1,1.17523914194658
0.3,0.4,0,0.3,1.17528161281428
0.1,0,0.6,0.3,1.17529171440727
0.1,0.4,0.3,0.2,1.17554318856197
0.1,0.1,0.5,0.3,1.17568165371578
0.2,0.7,0,0.1,1.17572635359461
0.1,0.6,0.2,0.1,1.17586730438254
0.2,0,0.4,0.4,1.17592284621651
0,0,0.9,0.1,1.17613895204469
0,0.4,0.5,0.1,1.17625601804127
0,0,1,0,1.17637756439473
0.3,0.2,0.1,0.4,1.1764374702494
0,0.6,0.4,0,1.17668903133629
0.1,0.2,0.4,0.3,1.1767186920246
0.2,0.1,0.3,0.4,1.17701586620924
0,0.1,0.7,0.2,1.17704718380531
0.5,0,0,0.5,1.17718488346011
0,0.2,0.6,0.2,1.17735492534306
0,0,0.8,0.2,1.17741709280778
0.2,0.4,0.1,0.3,1.17751254992618
0.1,0.8,0.1,0,1.17767378086934
0.4,0,0.1,0.5,1.17772836233407
0.2,0.6,0,0.2,1.17777637130031
0.1,0.5,0.2,0.2,1.17788558940837
0,0.5,0.4,0.1,1.17788873688481
0,0.3,0.5,0.2,1.17830509194004
0.1,0.3,0.3,0.3,1.17838112300267
0.2,0.2,0.2,0.4,1.17875129239306
0.1,0.7,0.1,0.1,1.17887315558346
0.3,0.3,0,0.4,1.17897218926086
0,0.7,0.3,0,1.17898023570213
0.3,0,0.2,0.5,1.17919460314848
0.1,0,0.5,0.4,1.17947653169885
0.4,0.1,0,0.5,1.17968090011809
0,0.4,0.4,0.2,1.17987685951873
0,0,0.7,0.3,1.18006597789697
0,0.6,0.3,0.1,1.18012923897657
0,0.1,0.6,0.3,1.18027538275596
0.1,0.1,0.4,0.4,1.18040988639173
0.2,0.5,0,0.3,1.18057231128159
0.1,0.4,0.2,0.3,1.18065935557767
0.1,0.6,0.1,0.2,1.18083731676871
0.3,0.1,0.1,0.5,1.1809843209551
0.2,0.3,0.1,0.4,1.18111801635106
0,0.2,0.5,0.3,1.18114195941522
0.1,0.9,0,0,1.18135182335003
0.2,0,0.3,0.5,1.18157966751518
0,0.8,0.2,0,1.1818812856644
0.1,0.2,0.3,0.4,1.18198591193054
0,0.5,0.3,0.2,1.18206053667607
0.1,0.8,0,0.1,1.18249747862354
0,0.3,0.4,0.3,1.18264104127251
0,0.7,0.2,0.1,1.18297865230495
0.2,0.1,0.2,0.5,1.18321086361104
0.3,0.2,0,0.5,1.18343499418468
0.1,0.5,0.1,0.3,1.18355403817104
0,0,0.6,0.4,1.18400973996072
0.2,0.4,0,0.4,1.18411691153742
0.1,0.3,0.2,0.4,1.18419130616712
0.1,0.7,0,0.2,1.18440990841333
0,0.4,0.3,0.3,1.18476046579224
0,0.1,0.5,0.4,1.18477219047792
0,0.6,0.2,0.2,1.18485601726136
0.1,0,0.4,0.5,1.18490453522482
0.4,0,0,0.6,1.18517216519189
0,0.9,0.1,0,1.18540310325671
0.2,0.2,0.1,0.5,1.18549364158908
0,0.2,0.4,0.4,1.18618426583344
0.3,0,0.1,0.6,1.18635479702915
0.1,0.1,0.3,0.5,1.18637643499879
0,0.8,0.1,0.1,1.18644699632642
0.1,0.4,0.1,0.4,1.18702437962759
0.1,0.6,0,0.3,1.18707554224963
0,0.5,0.2,0.3,1.18749843365509
0,0.3,0.3,0.4,1.18823001897186
0,0.7,0.1,0.2,1.18827231731254
0.2,0.3,0,0.5,1.18842538796098
0.2,0,0.2,0.6,1.18848881433627
0.1,0.2,0.2,0.5,1.18849731026189
0.3,0.1,0,0.6,1.18870500551591
0,0,0.5,0.5,1.18921786194856
0,1,0,0,1.1895661309123
0.1,0.5,0,0.4,1.19049402855404
0,0.1,0.4,0.5,1.19052430794007
0,0.9,0,0.1,1.19055372333486
0.2,0.1,0.1,0.6,1.19067147658706
0,0.6,0.1,0.3,1.19086275980473
0,0.4,0.2,0.4,1.19090525308145
0.1,0.3,0.1,0.5,1.19126198816201
0.1,0,0.3,0.6,1.19158768233336
0,0.8,0,0.2,1.1923280141071
0,0.2,0.3,0.5,1.19248394632915
0.2,0.2,0,0.6,1.19352648536558
0.1,0.1,0.2,0.6,1.19360763484399
0,0.5,0.1,0.4,1.19421623758897
0.1,0.4,0,0.5,1.19467733070961
0.3,0,0,0.7,1.19483717735106
0,0.7,0,0.3,1.19487116853979
0,0.3,0.2,0.5,1.19508897717006
0,0,0.4,0.6,1.1956955090721
0.1,0.2,0.1,0.6,1.1962938990221
0.2,0,0.1,0.7,1.1967019197479
0,0.1,0.3,0.6,1.19755179795484
0,0.6,0,0.4,1.19817976701031
0,0.4,0.1,0.5,1.19834352227352
0.2,0.1,0,0.7,1.1994653131638
0.1,0,0.2,0.7,1.19957029337511
0.1,0.3,0,0.6,1.19965024457917
0,0.2,0.2,0.6,1.20007586472156
0.1,0.1,0.1,0.7,1.20216301327837
0,0.5,0,0.5,1.20226322818358
0,0.3,0.1,0.6,1.20326855988229
0,0,0.3,0.7,1.20348117705576
0.1,0.2,0,0.7,1.20545237516525
0,0.1,0.2,0.7,1.20590829838447
0.2,0,0,0.8,1.20630924119713
0,0.4,0,0.6,1.20714391393575
0.1,0,0.1,0.8,1.20893323984072
0,0.2,0.1,0.7,1.20903032687614
0.1,0.1,0,0.8,1.21214221383495
0,0,0.2,0.8,1.21264982760295
0,0.3,0,0.7,1.21285868030244
0,0.1,0.1,0.8,1.21568679130307
0,0.2,0,0.8,1.21946226718985
0.1,0,0,0.9,1.21980515644931
0,0,0.1,0.9,1.22332270688038
0,0.1,0,0.9,1.22703376913483
0,0,0,1,1.23568960285497
