variant,cv_mean,cv_sd,fold1,fold2,fold3,fold4,fold5,delta
baseline,1.16246863237725,0.0154432985793065,1.18247560142853,1.17391453074008,1.14819568343148,1.15985373018003,1.14790361610614,0
varA,1.1637136604996,0.0147662909073103,1.18281695232738,1.17517789022199,1.15257232331343,1.15961266922034,1.14838846741489,0.00124502812235239
varB,1.1637136604996,0.0147662909073103,1.18281695232738,1.17517789022199,1.15257232331343,1.15961266922034,1.14838846741489,0.00124502812235239
varC,1.1637136604996,0.0147662909073103,1.18281695232738,1.17517789022199,1.15257232331343,1.15961266922034,1.14838846741489,0.00124502812235239
